Item Name,Price,Quantity,Date
COCA COLA ZERO,1.19,1,17.10.2024
"PFAND 0,25 EURO",0.25,1,17.10.2024
RBW Produkte -5%,-0.05,1,17.10.2024
BIO EIER KL. S-L,2.49,1,19.10.2024
SOJAGURT NATUR,1.39,2,19.10.2024
HERINGSFILETS,1.99,1,19.10.2024
COCA COLA ZERO,1.19,1,19.10.2024
"PFAND 0,25 EURO",0.25,1,19.10.2024
GERAMONT CLASSIC,2.22,1,21.10.2024
TORT. TOM-MOZ,2.19,1,21.10.2024
SOJAGHURT NATUR,0.95,1,21.10.2024
SULTANINEN,1.19,1,21.10.2024
KAKAO,2.99,1,21.10.2024
BIO TOMATENS.KRA,1.89,2,21.10.2024
HERINGSFILETS,1.99,1,21.10.2024
LEERG. MW E. ST,-2.75,1,21.10.2024
"Appel Heringsf. 1,19",-0.8,1,21.10.2024
REWE Bio -5%,-0.3,1,21.10.2024
SOJAGURT NATUR,1.39,3,22.10.2024
CORNFLAKES,1.69,1,22.10.2024
REWE Bio -5%,-0.21,1,22.10.2024
SULTANINEN,1.19,3,23.10.2024
ZIMT GEMAHLEN,3.69,1,23.10.2024
BIO KOKOSMILCH,1.29,3,23.10.2024
ORANGE 60%,1.39,1,23.10.2024
REWE Bio -5%,-0.26,1,23.10.2024
GERAMONT CLASSIC,2.22,2,25.10.2024
SOJAGURT NATUR,1.39,3,25.10.2024
HUEHNERNUDELTOPF,3.39,1,25.10.2024
ORANGE 60%,1.39,1,25.10.2024
REWE Bio -5%,-0.28,1,25.10.2024
ROSENKOHL,1.49,1,26.10.2024
SOJAGURT NATUR,1.39,2,26.10.2024
REWE Bio -5%,-0.14,1,26.10.2024
TORTELLONI,1.89,1,28.10.2024
ZWIEBEL ROT,0.79,1,28.10.2024
BIO TOMATENS.KRA,1.89,2,28.10.2024
REWE Bio -5%,-0.19,1,28.10.2024
SOJAGURT NATUR,1.39,3,29.10.2024
ORANGE 60%,1.39,1,29.10.2024
REWE Bio -5%,-0.28,1,29.10.2024
"BIO FR.MILCH 3,8",1.25,1,31.10.2024
SOJAGHURT NATUR,0.85,3,31.10.2024
KEKSE NUESSE,2.69,1,31.10.2024
REWE Bio -5%,-0.06,1,31.10.2024
"BIO FR.MILCH 3,8",1.25,1,02.11.2024
SOJAGURT NATUR,1.39,2,02.11.2024
